,overlap_proportion,Condition,Time (min)
278,0.1066453736406054,Ab1,150
279,0.1114700165789354,Ab1,150
280,0.123164946760844,Ab1,180
281,0.0837396911982773,Ab1,180
282,0.0509758039717693,Ab1,180
283,0.1066938522786089,Ab1,180
284,0.104211000870983,Ab1,180
285,0.1142938274347828,Ab1,180
286,0.1317268365989362,Ab1,180
287,0.1046822776589631,Ab1,180
288,0.1562410555118924,Ab1,210
289,0.1381686279087645,Ab1,210
290,0.1189473351498284,Ab1,210
291,0.123473613221901,Ab1,210
292,0.1714954492930896,Ab1,210
293,0.0886943043265876,Ab1,210
294,0.1147871838760776,Ab1,210
295,0.1625968177510492,Ab1,210
296,0.1062509600539452,Ab1,240
297,0.081140206697591,Ab1,240
298,0.083352555218952,Ab1,240
299,0.0598834310472293,Ab1,240
300,0.0207879943059811,Ab1,240
301,0.0003410253495509,Ab1,240
302,0.0602264363923693,Ab1,240
303,0.0942830322989881,Ab1,240
304,0.1799294154045683,Ab1,270
305,0.22595189583267,Ab1,270
306,0.1406044954912654,Ab1,270
307,0.1621506198772919,Ab1,270
308,0.1387910719545831,Ab1,270
309,0.1570143204224423,Ab1,270
310,0.1081212780271758,Ab1,270
311,0.1893087553952417,Ab1,270
312,0.1249900545452938,Ab1,300
313,0.0931969806120211,Ab1,300
314,0.1770985920701479,Ab1,300
315,0.0970532024192142,Ab1,300
316,0.1619261507607817,Ab1,300
317,0.1151120562174084,Ab1,300
318,0.1606675194499778,Ab1,300
319,0.1928833490281054,Ab1,300
320,0.0225963204462568,Ab1,30
321,0.0243809989009647,Ab1,30
322,0.0811801833597347,Ab1,30
323,0.0851199218902393,Ab1,30
324,0.0713866206586861,Ab1,30
325,0.0687803271340624,Ab1,30
326,0.0756715727129739,Ab1,30
327,0.0354341435250428,Ab1,30
328,0.0291358392291144,Ab1,60
329,0.0,Ab1,60
330,0.0905763788881993,Ab1,60
331,0.0662359968612376,Ab1,60
332,0.0886769483295147,Ab1,60
333,0.0923891601862161,Ab1,60
334,0.1153852813039049,Ab1,60
335,0.0680774684759755,Ab1,60
336,0.1084584710008314,Ab1,90
337,0.0829811680612859,Ab1,90
338,0.0469053577383052,Ab1,90
339,0.0873379205408565,Ab1,90
340,0.1357642780780314,Ab1,90
341,0.075631740670603,Ab1,90
342,0.0946546466776241,Ab1,90
343,0.0309068214110242,Ab1,90
344,0.089216028518705,Ab1,120
345,0.0207144586229553,Ab1,120
346,0.102630492062653,Ab1,120
347,0.131485536990819,Ab1,120
348,0.1226137250571298,Ab1,120
349,0.1365603598356533,Ab1,120
350,0.0694838547830031,Ab1,120
351,0.0998578458851184,Ab1,120
352,0.2226415094339622,Ab1,150
353,0.1330317110770155,Ab1,150
354,0.1116087241977587,Ab1,150
355,0.1129314283554966,Ab1,150
356,0.1294825503510336,Ab1,150
357,0.1238542916301074,Ab1,150
358,0.1424646381508033,Ab1,150
359,0.1640949011546547,Ab1,150
360,0.0677836529273109,Ab1,180
361,0.0911512719738205,Ab1,180
362,0.1118084151753044,Ab1,180
363,0.141135744907219,Ab1,180
364,0.0861775884349902,Ab1,180
365,0.0839663477025347,Ab1,180
366,0.1185473193055847,Ab1,180
367,0.0938994355050684,Ab1,180
368,0.1114679755045264,Ab1,210
369,0.0803759952477953,Ab1,210
370,0.1426336153600355,Ab1,210
371,0.1255882965916902,Ab1,210
372,0.1525515616740426,Ab1,210
373,0.1469175418933615,Ab1,210
374,0.162963629265823,Ab1,210
375,0.1383273650090139,Ab1,210
376,0.076638509280026,Ab1,240
377,0.0561240040057473,Ab1,240
378,0.1167334697132554,Ab1,240
379,0.1390130890539131,Ab1,240
380,0.1006026909085654,Ab1,240
381,0.1199733251156916,Ab1,240
382,0.1818521269883015,Ab1,240
383,0.1117014402766709,Ab1,240
384,0.0976500859136655,Ab1,270
385,0.0,Ab1,270
386,0.1337770967745261,Ab1,270
387,0.0001420827916426,Ab1,270
388,0.1301293617105365,Ab1,270
389,0.1159031419408686,Ab1,270
390,0.1213737519598487,Ab1,270
391,0.1210868113047394,Ab1,270
392,0.1590443767359818,Ab1,300
393,0.1655230140434313,Ab1,300
394,0.1569482883776697,Ab1,300
395,0.133068710010616,Ab1,300
396,0.143668877588401,Ab1,300
397,0.0874101736656474,Ab1,300
398,0.1349717123797123,Ab1,300
399,0.0855987894581423,Ab1,300
400,0.0688326345776492,Ab2,30
401,0.0762648824729121,Ab2,30
402,0.0592245362976213,Ab2,30
403,0.1296074198448868,Ab2,30
404,0.0804085696823,Ab2,30
405,0.0770976247889114,Ab2,30
406,0.0356552104392574,Ab2,30
407,0.0014590940949816,Ab2,30
408,0.0924544310623764,Ab2,60
409,0.0692551541089044,Ab2,60
410,0.1174928519803711,Ab2,60
411,0.0634730703636463,Ab2,60
412,0.0442223143846545,Ab2,60
413,0.0868322341008604,Ab2,60
414,0.0539751555352429,Ab2,60
415,0.1031076576863469,Ab2,60
416,0.0958595403721868,Ab2,90
417,0.0246478873239436,Ab2,90
418,0.0922257654471814,Ab2,90
419,0.1081948912632606,Ab2,90
420,0.0848844429635912,Ab2,90
421,0.0649050604700918,Ab2,90
422,0.1087769861901664,Ab2,90
423,0.0905915681073159,Ab2,90
424,0.1337781725807078,Ab2,120
425,0.1213946438133193,Ab2,120
426,0.1182943523356412,Ab2,120
427,0.1687383516825434,Ab2,120
428,0.1257666731228613,Ab2,120
429,0.1656738226368438,Ab2,120
430,0.0564565617603226,Ab2,120
431,0.0761453583332717,Ab2,120
432,0.1330752290822944,Ab2,150
433,0.1119519866578749,Ab2,150
434,0.1197704723492786,Ab2,150
435,0.0726288576506705,Ab2,150
436,0.1410786725593074,Ab2,150
437,0.109009009009009,Ab2,150
438,0.0358974358974358,Ab2,150
439,0.3760151085930123,Ab2,150
440,0.1527432836342019,Ab2,180
441,0.1576531331776799,Ab2,180
442,0.2755269963169031,Ab2,180
443,0.0,Ab2,180
444,0.1322450953598165,Ab2,180
445,0.141631983782232,Ab2,180
446,0.1186767890219404,Ab2,180
447,0.084278323228188,Ab2,180
448,0.1440297357873657,Ab2,210
449,0.1465734865243449,Ab2,210
450,0.1515929639945479,Ab2,210
451,0.1615610574905581,Ab2,210
452,0.1631661563966383,Ab2,210
453,0.1529123556927898,Ab2,210
454,0.1481664499933091,Ab2,210
455,0.2310713002412607,Ab2,210
456,0.1470715573757858,Ab2,240
457,0.1377689365682687,Ab2,240
458,0.1062056207895201,Ab2,240
459,0.1910676379697905,Ab2,240
460,0.1743335135699497,Ab2,240
461,0.1368557817236899,Ab2,240
462,0.1939656303751752,Ab2,240
463,0.1609284415141525,Ab2,240
464,0.25083555170974,Ab2,270
465,0.0984720628276964,Ab2,270
466,0.1619719769872669,Ab2,270
467,0.1170595988088133,Ab2,270
468,0.1590959778139787,Ab2,270
469,0.1648814751527002,Ab2,270
470,0.1563960146132361,Ab2,270
471,0.151810503912497,Ab2,270
472,0.1788428991229682,Ab2,300
473,0.1263184369766771,Ab2,300
474,0.2406565106315809,Ab2,300
475,0.2172705774424578,Ab2,300
476,0.138374050303683,Ab2,300
477,0.1281030599996752,Ab2,300
478,0.1677251718388538,Ab2,300
479,0.1579511682019931,Ab2,300
480,0.0805549446261466,Ab2,30
481,0.0531177548198283,Ab2,30
482,0.089178551814808,Ab2,30
483,0.0860078053755958,Ab2,30
484,0.0594068064171025,Ab2,30
485,0.0656674482744373,Ab2,30
486,0.054633965154699,Ab2,30
487,0.0782433048804326,Ab2,30
488,0.076818536711834,Ab2,60
489,0.0838591726880364,Ab2,60
490,0.0902487918411284,Ab2,60
491,0.0536818646520415,Ab2,60
492,0.1737328657953458,Ab2,60
493,0.1168482551713248,Ab2,60
494,0.061769168589821,Ab2,60
495,0.0919943073185457,Ab2,60
496,0.0918106962334909,Ab2,90
497,0.0640104970893774,Ab2,90
498,0.1266095419844315,Ab2,90
499,0.0978863591884663,Ab2,90
500,0.0698541084858106,Ab2,90
501,0.1065163099464983,Ab2,90
502,0.1183300226042879,Ab2,90
503,0.1438674862677181,Ab2,90
504,0.157674801347494,Ab2,120
505,0.1362474120490036,Ab2,120
506,0.1242422874773824,Ab2,120
507,0.1465433008776741,Ab2,120
508,0.1243425082662388,Ab2,120
509,0.1021837315044328,Ab2,120
510,0.1451606738311414,Ab2,120
511,0.1269869619574924,Ab2,120
512,0.1626972516667466,Ab2,150
513,0.0982804702240241,Ab2,150
514,0.140630767564816,Ab2,150
515,0.1271805107132374,Ab2,150
516,0.1203730043451825,Ab2,150
517,0.1133686065409821,Ab2,150
518,0.1274666810959129,Ab2,150
519,0.1273552644672352,Ab2,150
520,0.1345101120929956,Ab2,180
521,0.1088011207253169,Ab2,180
522,0.140675793474025,Ab2,180
523,0.1927810295662614,Ab2,180
524,0.1392922193998277,Ab2,180
525,0.1256634643677799,Ab2,180
526,0.0854808551657991,Ab2,180
527,0.1002741352595514,Ab2,180
528,0.2518438420235452,Ab2,210
529,0.0090225563909774,Ab2,210
530,0.0855489049241795,Ab2,210
531,0.140050720187401,Ab2,210
532,0.1103691967204869,Ab2,210
533,0.1260129649149614,Ab2,210
534,0.134159025343666,Ab2,210
535,0.1870225439809271,Ab2,210
536,0.1875338016065509,Ab2,240
537,0.1237114592492028,Ab2,240
538,0.0,Ab2,240
539,0.162950728806196,Ab2,240
540,0.1464310258322202,Ab2,240
541,0.1259597634915964,Ab2,240
542,0.1355141770942215,Ab2,240
543,0.1632458160758698,Ab2,240
544,0.1403260731850589,Ab2,270
545,0.1744965948529893,Ab2,270
546,0.2144825517340163,Ab2,270
547,0.2011054026181576,Ab2,270
548,0.1965263837109263,Ab2,270
549,0.1408932792627532,Ab2,270
550,0.1913299846696941,Ab2,270
551,0.0058666666666666,Ab2,270
552,0.182722156757755,Ab2,300
553,0.2275121177877331,Ab2,300
554,0.2019876376601523,Ab2,300
555,0.2073930954030111,Ab2,300
556,0.115418332122093,Ab2,300
557,0.1816850742020885,Ab2,300
558,0.1629550222419345,Ab2,300
559,0.1698343339546055,Ab2,300
560,0.0565276442188537,Isotype Control,30
561,0.0374888989757455,Isotype Control,30
562,0.0995805944617628,Isotype Control,30
563,0.0090740358836873,Isotype Control,30
564,0.0809451107350452,Isotype Control,30
565,0.0692013728306112,Isotype Control,30
566,0.0813418931507959,Isotype Control,30
567,0.062381209043715,Isotype Control,30
568,0.0401082272096036,Isotype Control,60
569,0.0490299438930696,Isotype Control,60
570,0.0471452540582341,Isotype Control,60
571,0.0003678627176106,Isotype Control,60
